BARRIO,DEPTO,localidad
AGRONOMIA,Comuna 15,AGRONOMIA
ALMAGRO,Comuna 5,ALMAGRO
BALVANERA,Comuna 3,BALVANERA GP
BALVANERA,Comuna 3,BALVANERA RP
BARRACAS,Comuna 4,BARRACAS
BELGRANO,Comuna 13,BELGRANO
BELGRANO,Comuna 13,BELGRANO C
BOCA,Comuna 4,LA BOCA
BOEDO,Comuna 5,BOEDO
CABALLITO,Comuna 6,CABALLITO GP
CABALLITO,Comuna 6,CABALLITO RP
CHACARITA,Comuna 15,CHACARITA
COGHLAN,Comuna 12,COGHLAN
COLEGIALES,Comuna 13,COLEGIALES
CONSTITUCION,Comuna 1,CONSTITUCION
FLORES,Comuna 7,FLORES GP
FLORES,Comuna 7,FLORES RP
FLORESTA,Comuna 10,FLORESTA
LINIERS,Comuna 9,LINIERS
MATADEROS,Comuna 9,MATADEROS
MONSERRAT,Comuna 1,MONSERRAT
MONTE CASTRO,Comuna 10,MONTE CASTRO
NUEVA POMPEYA,Comuna 4,NUEVA POMPEYA
NUÃ‘EZ,Comuna 13,NU?EZ
PALERMO,Comuna 14,PALERMO
PARQUE AVELLANEDA,Comuna 9,PARQUE AVELLANEDA
PARQUE CHACABUCO,Comuna 7,PARQUE CHACABUCO
PARQUE CHAS,Comuna 15,PARQUE CHAS
PARQUE PATRICIOS,Comuna 4,PARQUE PATRICIOS
PATERNAL,Comuna 15,LA PATERNAL
PUERTO MADERO,Comuna 1,PUERTO MADERO
RECOLETA,Comuna 2,RECOLETA
RETIRO,Comuna 1,RETIRO
SAAVEDRA,Comuna 12,SAAVEDRA
SAN CRISTOBAL,Comuna 3,SAN CRISTOBAL
SAN NICOLAS,Comuna 1,SAN NICOLAS
SAN TELMO,Comuna 1,SAN TELMO
VELEZ SARSFIELD,Comuna 10,VELEZ SARFIELD
VERSALLES,Comuna 10,VERSALLES
VILLA CRESPO,Comuna 15,VILLA CRESPO
VILLA DEL PARQUE,Comuna 11,VILLA DEL PARQUE
VILLA DEVOTO,Comuna 11,VILLA DEVOTO
VILLA GRAL. MITRE,Comuna 11,VILLA GENERAL MITRE
VILLA LUGANO,Comuna 8,VILLA LUGANO
VILLA LURO,Comuna 10,VILLA LURO
VILLA ORTUZAR,Comuna 15,VILLA ORTUZAR
VILLA PUEYRREDON,Comuna 12,VILLA PUEYRRED?N
VILLA REAL,Comuna 10,VILLA REAL
VILLA RIACHUELO,Comuna 8,VILLA RIACHUELO
VILLA SANTA RITA,Comuna 11,VILLA STA. RITA
VILLA SOLDATI,Comuna 8,VILLA SOLDATI GP
VILLA SOLDATI,Comuna 8,VILLA SOLDATI RP
VILLA URQUIZA,Comuna 12,VILLA URQUIZA
